[HEADER]MODE,TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
Running Q-Learning Agent in AUGMENTED-3D mode
[DATA]AUGMENTED-3D,1,0,0.0000,0.0000,1.0000,-0.2500,0.0000,0.49997500,0.0000
[DATA]AUGMENTED-3D,2,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49995000,0.8869
[DATA]AUGMENTED-3D,3,0,520.0000,508.0000,0.8869,-0.2950,0.0009,0.49992500,0.8878
[DATA]AUGMENTED-3D,4,0,520.0000,508.0000,0.8869,-0.2950,0.0018,0.49990001,0.8869
[DATA]AUGMENTED-3D,5,0,520.0000,508.0000,0.8869,0.0000,0.0027,0.49987501,0.8868
[DATA]AUGMENTED-3D,6,0,520.0000,508.0000,0.8869,-0.2950,0.0027,0.49985002,0.8886
[DATA]AUGMENTED-3D,7,0,520.0000,508.0000,0.8869,-0.2949,0.0035,0.49982503,0.8868
[DATA]AUGMENTED-3D,8,0,520.0000,508.0000,0.8869,-0.2949,0.0044,0.49980003,0.8867
[DATA]AUGMENTED-3D,9,0,520.0000,508.0000,0.8869,-0.2949,0.0053,0.49977504,0.8867
[DATA]AUGMENTED-3D,10,0,520.0000,508.0000,0.8869,-0.2949,0.0062,0.49975006,0.8867
[DATA]AUGMENTED-3D,11,0,520.0000,508.0000,0.8869,-0.2949,0.0071,0.49972507,0.8866
[DATA]AUGMENTED-3D,12,0,520.0000,508.0000,0.8869,-0.2949,0.0080,0.49970008,0.8866
[DATA]AUGMENTED-3D,13,0,520.0000,508.0000,0.8869,-0.2949,0.0089,0.49967510,0.8865
[DATA]AUGMENTED-3D,14,0,520.0000,508.0000,0.8869,-0.2949,0.0098,0.49965011,0.8865
[DATA]AUGMENTED-3D,15,0,520.0000,508.0000,0.8869,-0.2948,0.0106,0.49962513,0.8864
[DATA]AUGMENTED-3D,16,0,520.0000,508.0000,0.8869,-0.2948,0.0115,0.49960015,0.8864
[DATA]AUGMENTED-3D,17,0,520.0000,508.0000,0.8869,-0.2948,0.0124,0.49957517,0.8863
[DATA]AUGMENTED-3D,18,0,520.0000,508.0000,0.8869,-0.2948,0.0133,0.49955019,0.8863
[DATA]AUGMENTED-3D,19,0,520.0000,508.0000,0.8869,-0.2948,0.0142,0.49952521,0.8863
[DATA]AUGMENTED-3D,20,0,520.0000,508.0000,0.8869,-0.2948,0.0151,0.49950024,0.8862
[DATA]AUGMENTED-3D,21,0,514.5918,507.7507,0.9339,-0.2754,0.0160,0.49947526,0.9331
[DATA]AUGMENTED-3D,22,0,503.3412,506.7427,0.9666,-0.2625,0.0170,0.49945029,0.9658
[DATA]AUGMENTED-3D,23,0,497.5180,506.0208,0.9185,-0.2816,0.0179,0.49942532,0.9176
[DATA]AUGMENTED-3D,24,0,491.6824,505.2062,0.8735,-0.3004,0.0188,0.49940034,0.8726
[DATA]AUGMENTED-3D,25,0,485.8151,504.3002,0.8312,-0.3190,0.0196,0.49937537,0.8303
[DATA]AUGMENTED-3D,26,0,479.8974,503.3443,0.7910,0.0000,0.0000,0.49935041,0.7714
[DATA]AUGMENTED-3D,27,0,473.9107,502.3553,0.7524,0.0000,0.0000,0.49932544,0.7524
[DATA]AUGMENTED-3D,28,0,468.1740,501.3272,0.4178,-0.3743,0.0000,0.49930047,0.4178
[DATA]AUGMENTED-3D,29,0,462.6873,500.2800,0.3867,-0.3910,0.0004,0.49927551,0.3878
[DATA]AUGMENTED-3D,30,0,457.0762,499.1874,0.3563,0.0000,0.0007,0.49925054,0.3570
[DATA]AUGMENTED-3D,31,0,451.3242,498.0908,0.3265,0.0000,0.0007,0.49922558,0.3264
[DATA]AUGMENTED-3D,32,0,445.8222,496.9908,0.2995,-0.4419,0.0000,0.49920062,0.2980
[DATA]AUGMENTED-3D,33,0,440.5702,495.8780,0.2752,-0.4574,0.0003,0.49917566,0.2752
[DATA]AUGMENTED-3D,34,0,435.1263,494.7768,0.2507,-0.4737,0.0005,0.49915070,0.2507
[DATA]AUGMENTED-3D,35,0,429.4750,493.6653,0.2263,-0.4907,0.0008,0.49912574,0.2263
[DATA]AUGMENTED-3D,36,0,423.6000,492.5374,0.2019,-0.5085,0.0010,0.49910079,0.2019
[DATA]AUGMENTED-3D,37,0,417.4843,491.4288,0.1774,-0.5273,0.0011,0.49907583,0.1773
[DATA]AUGMENTED-3D,38,0,411.1102,490.3462,0.1528,-0.5471,0.0013,0.49905088,0.1527
[DATA]AUGMENTED-3D,39,0,404.4587,489.2886,0.1281,0.0000,0.0014,0.49902593,0.1281
[DATA]AUGMENTED-3D,40,0,397.5101,488.2511,0.1036,0.0000,0.0014,0.49900097,0.1049
[DATA]AUGMENTED-3D,41,0,390.8116,487.2006,0.0814,-0.6114,0.0014,0.49897602,0.0826
[DATA]AUGMENTED-3D,42,0,384.3630,486.1544,0.0613,-0.6317,0.0015,0.49895108,0.0613
[DATA]AUGMENTED-3D,43,0,377.5530,485.1305,0.0410,-0.6534,0.0015,0.49892613,0.0410
[DATA]AUGMENTED-3D,44,0,370.3613,484.1320,0.0206,-0.6766,0.0015,0.49890118,0.0205
[DATA]AUGMENTED-3D,45,0,362.7662,483.1225,0.0001,-0.7013,0.0015,0.49887624,0.0000
[DATA]AUGMENTED-3D,46,0,354.7445,482.1265,-0.0202,0.0000,0.0015,0.49885129,-0.0203
[DATA]AUGMENTED-3D,47,0,346.2715,481.1453,-0.0404,-0.7558,0.0015,0.49882635,-0.0392
[DATA]AUGMENTED-3D,48,0,338.0484,480.1780,-0.0586,-0.7830,0.0015,0.49880141,-0.0587
[DATA]AUGMENTED-3D,49,0,329.3196,479.2096,-0.0766,-0.8121,0.0014,0.49877647,-0.0767
[DATA]AUGMENTED-3D,50,0,320.0579,478.2604,-0.0944,-0.8432,0.0013,0.49875153,-0.0945
[DATA]AUGMENTED-3D,51,0,310.2341,477.3041,-0.1119,0.0000,0.0012,0.49872659,-0.1119
[DATA]AUGMENTED-3D,52,0,299.8170,476.3443,-0.1289,-0.9120,0.0012,0.49870166,-0.1279
[DATA]AUGMENTED-3D,53,0,289.6500,475.3947,-0.1439,-0.9465,0.0010,0.49867672,-0.1440
[DATA]AUGMENTED-3D,54,0,278.8210,474.4514,-0.1586,-0.9836,0.0009,0.49865179,-0.1587
[DATA]AUGMENTED-3D,55,0,267.2954,473.5042,-0.1728,-1.0233,0.0007,0.49862685,-0.1729
[DATA]AUGMENTED-3D,56,0,255.0363,472.5585,-0.1864,0.0000,0.0005,0.49860192,-0.1865
[DATA]AUGMENTED-3D,57,0,242.0039,471.6246,-0.1994,-1.1111,0.0005,0.49857699,-0.1989
[DATA]AUGMENTED-3D,58,0,229.2215,470.6983,-0.2106,-1.1555,0.0003,0.49855206,-0.2106
[DATA]AUGMENTED-3D,59,0,215.5780,469.8065,-0.2213,-1.2034,0.0001,0.49852714,-0.2213
[DATA]AUGMENTED-3D,60,0,201.0290,468.9347,-0.2314,-1.2546,-0.0002,0.49850221,-0.2314
[DATA]AUGMENTED-3D,61,0,185.5266,468.0854,-0.2407,0.0000,-0.0004,0.49847729,-0.2407
