[HEADER]MODE,TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
[DATA]AUGMENTED-7D,1,0,499.7427,369.0850,-0.5293,-0.7400,-0.1537,0.49997500,0.0000
[DATA]AUGMENTED-7D,2,0,516.0000,508.0000,0.9231,-0.2800,-0.0040,0.49995000,0.0000
[DATA]AUGMENTED-7D,3,0,516.0000,508.0000,0.9231,-0.2800,-0.0087,0.49992500,0.0000
[DATA]AUGMENTED-7D,4,0,516.0000,508.0000,0.9231,-0.2800,-0.0104,0.49990001,0.0000
[DATA]AUGMENTED-7D,5,0,516.0000,508.0000,0.9231,-0.2800,-0.0115,0.49987501,0.0000
[DATA]AUGMENTED-7D,6,0,516.0000,508.0000,0.9231,-0.2800,-0.0126,0.49985002,0.0000
[DATA]AUGMENTED-7D,7,0,516.0000,508.0000,0.9231,-0.2800,-0.0137,0.49982503,0.0000
[DATA]AUGMENTED-7D,8,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49980003,0.0000
[DATA]AUGMENTED-7D,9,0,516.0000,508.0000,0.9231,-0.2800,-0.0159,0.49977504,0.0000
[DATA]AUGMENTED-7D,10,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49975006,0.0000
[DATA]AUGMENTED-7D,11,0,516.0000,508.0000,0.9231,-0.2800,-0.0170,0.49972507,0.0000
[DATA]AUGMENTED-7D,12,0,516.0000,508.0000,0.9231,-0.2800,-0.0170,0.49970008,0.0000
[DATA]AUGMENTED-7D,13,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49967510,0.0000
[DATA]AUGMENTED-7D,14,0,516.0000,508.0000,0.9231,-0.2800,-0.0192,0.49965011,0.0000
[DATA]AUGMENTED-7D,15,0,516.0000,508.0000,0.9231,-0.2800,-0.0192,0.49962513,0.0000
[DATA]AUGMENTED-7D,16,0,516.0000,508.0000,0.9231,-0.2800,-0.0203,0.49960015,0.0000
[DATA]AUGMENTED-7D,17,0,516.0000,508.0000,0.9231,-0.2800,-0.0213,0.49957517,0.0000
[DATA]AUGMENTED-7D,18,0,516.0000,508.0000,0.9231,-0.2800,-0.0224,0.49955019,0.0000
[DATA]AUGMENTED-7D,19,0,516.0000,508.0000,0.9231,-0.2800,-0.0235,0.49952521,0.0000
[DATA]AUGMENTED-7D,20,0,516.0000,508.0000,0.9231,-0.2800,-0.0246,0.49950024,0.0000
[DATA]AUGMENTED-7D,21,0,516.0000,508.0000,0.9231,-0.2800,-0.0257,0.49947526,0.0000
[DATA]AUGMENTED-7D,22,0,510.9300,507.7586,0.9688,-0.2619,-0.0303,0.49945029,0.0000
[DATA]AUGMENTED-7D,23,0,505.7300,507.4360,0.9831,-0.2564,-0.0126,0.49942532,0.0000
[DATA]AUGMENTED-7D,24,0,494.9999,506.6018,0.8905,-0.2932,0.0186,0.49940034,0.0000
[DATA]AUGMENTED-7D,25,0,494.9999,506.6018,0.8905,-0.2932,0.0186,0.49937537,0.0000
[DATA]AUGMENTED-7D,26,0,484.1074,505.6322,0.8063,-0.3298,0.0609,0.49935041,0.0000
[DATA]AUGMENTED-7D,27,0,478.5963,505.1111,0.7671,-0.3482,0.0800,0.49932544,0.0000
[DATA]AUGMENTED-7D,28,0,473.0054,504.5743,0.4293,0.0000,0.0000,0.49930047,0.0000
[DATA]AUGMENTED-7D,29,0,467.3162,504.0308,0.3927,-0.3859,0.1190,0.49927551,0.0000
[DATA]AUGMENTED-7D,30,0,461.8771,503.4733,0.3597,-0.4039,0.1389,0.49925054,0.0000
[DATA]AUGMENTED-7D,31,0,456.3020,502.8956,0.3275,-0.4224,0.1576,0.49922558,0.0000
[DATA]AUGMENTED-7D,32,0,450.5731,502.3250,0.2960,-0.4414,0.1774,0.49920062,0.0000
[DATA]AUGMENTED-7D,33,0,444.6718,501.7580,0.2650,-0.4611,0.1978,0.49917566,0.9232
[DATA]AUGMENTED-7D,34,0,438.5791,501.1891,0.2347,0.0000,0.0000,0.49915070,0.9657
[DATA]AUGMENTED-7D,35,0,432.2752,500.6135,0.2049,-0.5027,0.2403,0.49912574,0.9788
[DATA]AUGMENTED-7D,36,0,426.2214,500.0251,0.1781,-0.5228,0.2625,0.49910079,0.9188
[DATA]AUGMENTED-7D,37,0,419.9149,499.4416,0.1515,0.0000,0.0000,0.49907583,0.7822
[DATA]AUGMENTED-7D,38,0,413.3356,498.8608,0.1252,-0.5661,0.3066,0.49905088,0.2755
[DATA]AUGMENTED-7D,39,0,407.0063,498.2810,0.1014,-0.5873,0.3302,0.49902593,0.4842
[DATA]AUGMENTED-7D,40,0,393.3781,497.1270,0.0543,-0.6334,0.3767,0.49900097,0.9228
[DATA]AUGMENTED-7D,41,0,386.0580,496.5630,0.0312,-0.6584,0.4022,0.49897602,0.0365
[DATA]AUGMENTED-7D,42,0,378.3545,496.0031,0.0084,-0.6847,0.4289,0.49895108,0.9241
[DATA]AUGMENTED-7D,43,0,370.2427,495.4511,-0.0141,-0.7127,0.4572,0.49892613,0.1589
[DATA]AUGMENTED-7D,44,0,361.6960,494.9159,-0.0361,-0.7423,0.4873,0.49890118,0.9233
[DATA]AUGMENTED-7D,45,0,352.6868,494.3802,-0.0575,-0.7736,0.5188,0.49887624,0.9233
[DATA]AUGMENTED-7D,46,0,343.1852,493.8522,-0.0784,-0.8067,0.5523,0.49885129,0.9232
[DATA]AUGMENTED-7D,47,0,333.1601,493.3198,-0.0984,-0.8418,0.5876,0.49882635,-0.0520
[DATA]AUGMENTED-7D,48,0,322.5783,492.7912,-0.1177,0.0000,0.0000,0.49880141,0.9227
[DATA]AUGMENTED-7D,49,0,311.4047,492.2691,-0.1361,-0.9183,0.6647,0.49877647,0.3349
[DATA]AUGMENTED-7D,50,0,300.4810,491.7632,-0.1523,-0.9567,0.7068,0.49875153,0.3729
[DATA]AUGMENTED-7D,51,0,278.4656,490.7751,-0.1803,0.0000,0.0000,0.49872659,0.3729
[DATA]AUGMENTED-7D,52,0,266.4170,490.2929,-0.1934,-1.0771,0.8309,0.49870166,0.9231
[DATA]AUGMENTED-7D,53,0,254.6184,489.8194,-0.2048,-1.1189,0.8764,0.49867672,0.7822
[DATA]AUGMENTED-7D,54,0,241.9927,489.3459,-0.2157,-1.1638,0.9211,0.49865179,0.9229
[DATA]AUGMENTED-7D,55,0,228.4982,488.8804,-0.2260,-1.2119,0.9691,0.49862685,0.9231
[DATA]AUGMENTED-7D,56,0,214.0899,488.4257,-0.2356,-1.2634,1.0207,0.49860192,0.7822
[DATA]AUGMENTED-7D,57,0,198.7197,487.9705,-0.2446,-1.3186,1.0756,0.49857699,0.9228
[DATA]AUGMENTED-7D,58,0,182.3361,487.5178,-0.2527,0.0000,0.0000,0.49855206,0.4842
[DATA]AUGMENTED-7D,59,0,164.8839,487.0701,-0.2601,-1.4402,1.1973,0.49852714,-0.0926
[DATA]AUGMENTED-7D,60,0,147.6818,486.6273,-0.2663,-1.5021,1.2637,0.49850221,-0.0725
[DATA]AUGMENTED-7D,61,0,129.2893,486.1857,-0.2718,-1.5684,1.3300,0.49847729,0.0136
[DATA]AUGMENTED-7D,62,0,109.6448,485.7440,-0.2767,0.0000,0.0000,0.49845236,-0.2759
[DATA]AUGMENTED-7D,63,0,66.4006,484.8803,-0.2848,-1.7959,1.5575,0.49842744,-0.1115
[DATA]AUGMENTED-7D,64,0,52.0000,484.4438,-0.2868,0.0000,0.0000,0.49840252,-0.2759
[DATA]AUGMENTED-7D,65,0,65.1416,484.0062,-0.2848,-1.7960,1.6527,0.49837760,0.0365
[DATA]AUGMENTED-7D,66,0,78.5332,483.5829,-0.2826,-1.7449,1.6001,0.49835268,0.1589
[DATA]AUGMENTED-7D,67,0,90.3789,483.1656,-0.2803,-1.6997,1.5488,0.49832776,0.9188
[DATA]AUGMENTED-7D,68,0,100.7296,482.7493,-0.2781,0.0000,0.0000,0.49830284,0.9657
[DATA]AUGMENTED-7D,69,0,109.6306,482.3450,-0.2759,-1.6257,1.4636,0.49827793,-0.2205
[DATA]AUGMENTED-7D,70,0,118.7817,481.9503,-0.2735,-1.5905,1.4275,0.49825302,0.3069
[DATA]AUGMENTED-7D,71,0,132.9565,481.1692,-0.2693,-1.5354,1.3625,0.49822810,0.3729
[DATA]AUGMENTED-7D,72,0,138.0156,480.7807,-0.2675,-1.5153,1.3380,0.49820319,0.5310
[DATA]AUGMENTED-7D,73,0,141.7893,480.3949,-0.2662,-1.5000,1.3185,0.49817828,0.9227
[DATA]AUGMENTED-7D,74,0,144.2978,480.0198,-0.2652,0.0000,0.0000,0.49815337,-0.2031
[DATA]AUGMENTED-7D,75,0,145.5562,479.6534,-0.2646,-1.4834,1.2948,0.49812846,0.3349
[DATA]AUGMENTED-7D,76,0,147.0647,479.2959,-0.2639,0.0000,0.0000,0.49810356,0.1589
[DATA]AUGMENTED-7D,77,0,147.3397,478.9384,-0.2637,-1.4743,1.2827,0.49807865,0.3726
[DATA]AUGMENTED-7D,78,0,147.8647,478.5799,-0.2634,-1.4710,1.2799,0.49805375,-0.3348
[DATA]AUGMENTED-7D,79,0,147.1654,478.2291,-0.2635,-1.4723,1.2781,0.49802885,-0.2630
[DATA]AUGMENTED-7D,80,0,145.2452,477.8845,-0.2641,-1.4782,1.2811,0.49800394,0.9233
[DATA]AUGMENTED-7D,81,0,137.7377,477.2079,-0.2664,-1.5035,1.3011,0.49797904,0.9709
[DATA]AUGMENTED-7D,82,0,132.1447,476.8731,-0.2682,0.0000,0.0000,0.49795415,0.9233
[DATA]AUGMENTED-7D,83,0,125.2981,476.5455,-0.2702,-1.5471,1.3402,0.49792925,0.9226
[DATA]AUGMENTED-7D,84,0,118.7015,476.2242,-0.2720,-1.5702,1.3653,0.49790435,0.1589
[DATA]AUGMENTED-7D,85,0,110.8079,475.9004,-0.2740,-1.5982,1.3911,0.49787946,-0.3590
[DATA]AUGMENTED-7D,86,0,101.5941,475.5768,-0.2762,-1.6311,1.4219,0.49785456,0.4842
[DATA]AUGMENTED-7D,87,0,91.0320,475.2631,-0.2786,-1.6690,1.4581,0.49782967,0.3729
[DATA]AUGMENTED-7D,88,0,65.7645,474.6422,-0.2832,-1.7601,1.5461,0.49780478,0.9233
[DATA]AUGMENTED-7D,89,0,52.0000,474.3289,-0.2853,-1.8088,1.6591,0.49777989,-0.3810
[DATA]AUGMENTED-7D,90,0,60.3188,474.0180,-0.2840,-1.7770,1.6218,0.49775500,-0.2759
[DATA]AUGMENTED-7D,91,0,67.0787,473.7155,-0.2829,-1.7510,1.5905,0.49773011,0.9231
[DATA]AUGMENTED-7D,92,0,72.3116,473.4111,-0.2819,-1.7306,1.5651,0.49770522,0.8430
[DATA]AUGMENTED-7D,93,0,76.0434,473.1133,-0.2811,0.0000,0.0000,0.49768034,-0.3292
[DATA]AUGMENTED-7D,94,0,78.2946,472.8246,-0.2807,-1.7065,1.5321,0.49765546,-0.0926
