[HEADER]MODE,TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
[DATA]AUGMENTED-7D,1,0,516.0000,508.0000,0.9231,-0.2800,-0.0259,0.49997500,0.0000
[DATA]AUGMENTED-7D,2,0,516.0000,508.0000,0.9231,-0.2800,-0.0259,0.49995000,0.0000
[DATA]AUGMENTED-7D,3,0,516.0000,508.0000,0.9231,-0.2800,-0.0236,0.49992500,0.0000
[DATA]AUGMENTED-7D,4,0,516.0000,508.0000,0.9231,-0.2800,-0.0214,0.49990001,0.0000
[DATA]AUGMENTED-7D,5,0,516.0000,508.0000,0.9231,-0.2800,-0.0192,0.49987501,0.0000
[DATA]AUGMENTED-7D,6,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49985002,0.0000
[DATA]AUGMENTED-7D,7,0,516.0000,508.0000,0.9231,-0.2800,-0.0149,0.49982503,0.0000
[DATA]AUGMENTED-7D,8,0,516.0000,508.0000,0.9231,-0.2800,-0.0149,0.49980003,0.0000
[DATA]AUGMENTED-7D,9,0,516.0000,508.0000,0.9231,-0.2800,-0.0149,0.49977504,0.0000
[DATA]AUGMENTED-7D,10,0,516.0000,508.0000,0.9231,-0.2800,-0.0128,0.49975006,0.0000
[DATA]AUGMENTED-7D,11,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49972507,0.0000
[DATA]AUGMENTED-7D,12,0,516.0000,508.0000,0.9231,-0.2800,-0.0065,0.49970008,0.0000
[DATA]AUGMENTED-7D,13,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49967510,0.0000
[DATA]AUGMENTED-7D,14,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49965011,0.0000
[DATA]AUGMENTED-7D,15,0,516.0000,508.0000,0.9231,-0.2800,-0.0044,0.49962513,0.0000
[DATA]AUGMENTED-7D,16,0,516.0000,508.0000,0.9231,-0.2800,-0.0044,0.49960015,0.0000
[DATA]AUGMENTED-7D,17,0,516.0000,508.0000,0.9231,-0.2800,-0.0023,0.49957517,0.0000
[DATA]AUGMENTED-7D,18,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49955019,0.0000
[DATA]AUGMENTED-7D,19,0,516.0000,508.0000,0.9231,-0.2800,0.0019,0.49952521,0.0000
[DATA]AUGMENTED-7D,20,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49950024,0.0000
[DATA]AUGMENTED-7D,21,0,512.2300,507.7560,0.9562,0.0000,0.0000,0.49947526,0.0000
[DATA]AUGMENTED-7D,22,0,508.6101,507.3148,0.9871,0.0000,0.0000,0.49945029,0.0000
[DATA]AUGMENTED-7D,23,0,505.1401,506.7340,0.9842,0.0000,0.0000,0.49942532,0.0000
[DATA]AUGMENTED-7D,24,0,501.8201,506.0307,0.9588,0.0000,0.0000,0.49940034,0.0000
[DATA]AUGMENTED-7D,25,0,498.6501,505.2451,0.9362,0.0000,0.0000,0.49937537,0.0000
[DATA]AUGMENTED-7D,26,0,495.6302,504.3760,0.9163,0.0000,0.0000,0.49935041,0.0000
[DATA]AUGMENTED-7D,27,0,492.7602,503.4193,0.8989,-0.2900,-0.0585,0.49932544,0.0000
[DATA]AUGMENTED-7D,28,0,487.4803,501.3686,0.8703,-0.3021,-0.0714,0.49930047,0.0000
[DATA]AUGMENTED-7D,29,0,484.7804,500.2833,0.8564,0.0000,0.0000,0.49927551,0.0000
[DATA]AUGMENTED-7D,30,0,482.0284,499.1802,0.8424,-0.3143,-0.0855,0.49925054,0.0000
[DATA]AUGMENTED-7D,31,0,479.5264,498.0884,0.8306,-0.3196,-0.0899,0.49922558,0.0000
[DATA]AUGMENTED-7D,32,0,476.9601,496.9685,0.8187,-0.3250,-0.0961,0.49920062,0.0000
[DATA]AUGMENTED-7D,33,0,474.3242,495.8228,0.8066,-0.3306,-0.1025,0.49917566,0.9821
[DATA]AUGMENTED-7D,34,0,471.6132,494.6812,0.7940,0.0000,0.0000,0.49915070,0.9259
[DATA]AUGMENTED-7D,35,0,468.8217,493.5636,0.7808,0.0000,0.0000,0.49912574,0.9792
[DATA]AUGMENTED-7D,36,0,466.2801,492.4695,0.7696,-0.3482,-0.1209,0.49910079,0.9244
[DATA]AUGMENTED-7D,37,0,463.9886,491.3718,0.7605,0.0000,0.0000,0.49907583,1.0432
[DATA]AUGMENTED-7D,38,0,461.5988,490.2602,0.7508,0.0000,0.0000,0.49905088,0.9278
[DATA]AUGMENTED-7D,39,0,459.4590,489.1404,0.7432,0.0000,0.0000,0.49902593,0.9821
[DATA]AUGMENTED-7D,40,0,457.5692,488.0412,0.4373,-0.3643,-0.1347,0.49900097,1.0402
[DATA]AUGMENTED-7D,41,0,455.9295,486.9586,0.4332,0.0000,0.0000,0.49897602,0.9239
[DATA]AUGMENTED-7D,42,0,452.6714,484.8271,0.4250,-0.3706,-0.1395,0.49895108,0.9234
[DATA]AUGMENTED-7D,43,0,451.4173,483.8003,0.4234,0.0000,0.0000,0.49892613,0.9252
[DATA]AUGMENTED-7D,44,0,450.0427,482.7736,0.4209,-0.3727,-0.1410,0.49890118,0.4337
[DATA]AUGMENTED-7D,45,0,448.9180,481.7398,0.4202,0.0000,0.0000,0.49887624,1.0934
[DATA]AUGMENTED-7D,46,0,447.6707,480.7272,0.4185,0.0000,0.0000,0.49885129,0.9261
[DATA]AUGMENTED-7D,47,0,446.6733,479.7413,0.4184,0.0000,0.0000,0.49882635,0.9259
[DATA]AUGMENTED-7D,48,0,445.9259,478.7612,0.4201,0.0000,0.0000,0.49880141,0.9239
[DATA]AUGMENTED-7D,49,0,445.4285,477.7813,0.4236,0.0000,0.0000,0.49877647,1.0402
[DATA]AUGMENTED-7D,50,0,445.1812,476.8309,0.4287,0.0000,0.0000,0.49875153,0.9819
[DATA]AUGMENTED-7D,51,0,445.4364,475.0034,0.7440,-0.3609,-0.1196,0.49872659,0.9265
[DATA]AUGMENTED-7D,52,0,445.9390,474.0965,0.7546,-0.3556,-0.1126,0.49870166,0.6697
[DATA]AUGMENTED-7D,53,0,446.3308,473.1941,0.7644,0.0000,0.0000,0.49867672,0.6697
[DATA]AUGMENTED-7D,54,0,446.6169,472.2935,0.7735,-0.3463,-0.1037,0.49865179,0.7403
[DATA]AUGMENTED-7D,55,0,447.1531,471.3902,0.7848,0.0000,0.0000,0.49862685,0.9264
[DATA]AUGMENTED-7D,56,0,447.5930,470.4867,0.7954,0.0000,0.0000,0.49860192,0.9741
[DATA]AUGMENTED-7D,57,0,448.2829,469.6041,0.8080,-0.3300,-0.0839,0.49857699,0.4203
[DATA]AUGMENTED-7D,58,0,449.2228,468.7400,0.8227,-0.3232,-0.0753,0.49855206,0.9416
[DATA]AUGMENTED-7D,59,0,450.0827,467.8958,0.8368,0.0000,0.0000,0.49852714,0.7503
[DATA]AUGMENTED-7D,60,0,450.8694,467.0437,0.8507,0.0000,0.0000,0.49850221,0.4128
[DATA]AUGMENTED-7D,61,0,452.5464,465.3546,0.8798,-0.2980,-0.0481,0.49847729,0.9773
[DATA]AUGMENTED-7D,62,0,453.7600,464.5378,0.8978,0.0000,0.0000,0.49845236,0.4128
[DATA]AUGMENTED-7D,63,0,454.9255,463.7322,0.9157,0.0000,0.0000,0.49842744,0.4156
[DATA]AUGMENTED-7D,64,0,456.3410,462.9287,0.9362,0.0000,0.0000,0.49840252,0.7403
[DATA]AUGMENTED-7D,65,0,457.9065,462.1420,0.9585,0.0000,0.0000,0.49837760,1.0972
[DATA]AUGMENTED-7D,66,0,459.6220,461.3591,0.9828,-0.2565,-0.0016,0.49835268,0.7660
[DATA]AUGMENTED-7D,67,0,461.4875,460.5906,0.9911,0.0000,0.0000,0.49832776,0.7660
[DATA]AUGMENTED-7D,68,0,463.2465,459.8147,0.9663,0.0000,0.0000,0.49830284,0.9480
[DATA]AUGMENTED-7D,69,0,465.1555,459.0595,0.9409,-0.2729,-0.0392,0.49827793,0.9636
[DATA]AUGMENTED-7D,70,0,467.2145,458.3136,0.9148,-0.2834,-0.0453,0.49825302,0.9239
[DATA]AUGMENTED-7D,71,0,470.9639,456.8389,0.8683,-0.3030,-0.0522,0.49822810,0.7822
[DATA]AUGMENTED-7D,72,0,472.6438,456.1094,0.8476,0.0000,0.0000,0.49820319,0.7822
[DATA]AUGMENTED-7D,73,0,474.1707,455.3905,0.8288,0.0000,0.0000,0.49817828,0.9773
[DATA]AUGMENTED-7D,74,0,475.8476,454.6802,0.3092,-0.3294,-0.0667,0.49815337,0.9480
[DATA]AUGMENTED-7D,75,0,477.6745,453.9784,0.2890,-0.3389,-0.0735,0.49812846,0.9592
[DATA]AUGMENTED-7D,76,0,479.3221,453.2849,0.2708,-0.3476,-0.0774,0.49810356,0.9244
[DATA]AUGMENTED-7D,77,0,480.7808,452.5996,0.2544,-0.3557,-0.0808,0.49807865,0.9252
[DATA]AUGMENTED-7D,78,0,482.0418,451.9279,-0.0600,-0.3629,-0.0837,0.49805375,0.9819
[DATA]AUGMENTED-7D,79,0,483.0972,451.2758,-0.0726,-0.3693,-0.0860,0.49802885,0.9239
[DATA]AUGMENTED-7D,80,0,483.9396,450.6252,-0.0833,-0.3749,-0.0877,0.49800394,0.4203
[DATA]AUGMENTED-7D,81,0,484.5627,449.9801,0.6076,0.0000,0.0000,0.49797904,1.0934
[DATA]AUGMENTED-7D,82,0,485.1454,448.6994,-0.1054,-0.3867,-0.0898,0.49795415,0.9819
[DATA]AUGMENTED-7D,83,0,485.4742,448.0795,-0.1120,-0.3902,-0.0930,0.49792925,0.8444
[DATA]AUGMENTED-7D,84,0,485.5664,447.4743,-0.1168,-0.3928,-0.0928,0.49790435,0.7687
[DATA]AUGMENTED-7D,85,0,485.4183,446.8832,-0.1198,-0.3945,-0.0920,0.49787946,0.9264
[DATA]AUGMENTED-7D,86,0,485.0274,446.2858,-0.1212,-0.3953,-0.0906,0.49785456,0.9253
[DATA]AUGMENTED-7D,87,0,484.3920,445.6942,-0.1209,-0.3951,-0.0887,0.49782967,0.7859
[DATA]AUGMENTED-7D,88,0,483.5113,445.1085,-0.1189,-0.3940,-0.0862,0.49780478,0.9636
[DATA]AUGMENTED-7D,89,0,482.3856,444.5399,-0.1151,-0.3919,-0.0831,0.49777989,0.6697
[DATA]AUGMENTED-7D,90,0,481.0158,443.9751,-0.1095,-0.3889,-0.0795,0.49775500,0.9083
[DATA]AUGMENTED-7D,91,0,477.5462,442.8348,-0.0933,-0.3802,-0.0706,0.49773011,0.9252
[DATA]AUGMENTED-7D,92,0,475.4515,442.2608,0.6176,0.0000,0.0000,0.49770522,1.0972
[DATA]AUGMENTED-7D,93,0,473.1267,441.7000,0.6303,0.0000,0.0000,0.49768034,0.7985
[DATA]AUGMENTED-7D,94,0,470.9519,441.1467,0.2423,-0.3618,-0.0572,0.49765546,0.9234
[DATA]AUGMENTED-7D,95,0,468.9271,440.6060,0.2534,-0.3562,-0.0551,0.49763057,0.9392
[DATA]AUGMENTED-7D,96,0,466.6905,440.0663,0.2663,-0.3498,-0.0497,0.49760569,0.9239
[DATA]AUGMENTED-7D,97,0,464.2477,439.5356,0.9810,0.0000,0.0000,0.49758081,0.9301
[DATA]AUGMENTED-7D,98,0,461.6051,439.0111,0.2978,-0.3347,-0.0376,0.49755593,0.9773
[DATA]AUGMENTED-7D,99,0,459.1125,438.4959,0.3137,-0.3273,-0.0343,0.49753105,0.7583
[DATA]AUGMENTED-7D,100,0,453.5804,437.4884,0.8514,0.0000,0.0000,0.49750618,0.9792
[DATA]AUGMENTED-7D,101,0,450.5484,436.9783,0.8731,-0.3009,-0.0145,0.49748130,0.9244
[DATA]AUGMENTED-7D,102,0,447.6664,436.4828,0.8942,-0.2919,-0.0103,0.49745643,0.6754
[DATA]AUGMENTED-7D,103,0,444.6336,435.9842,0.9171,-0.2824,-0.0040,0.49743156,0.8662
[DATA]AUGMENTED-7D,104,0,441.4588,435.5025,0.9422,0.0000,0.0000,0.49740668,0.9746
[DATA]AUGMENTED-7D,105,0,438.1515,435.0281,0.9692,-0.2616,0.0068,0.49738181,1.0534
[DATA]AUGMENTED-7D,106,0,434.9943,434.5596,0.9957,-0.2516,-0.0007,0.49735694,0.4227
[DATA]AUGMENTED-7D,107,0,431.7254,434.0988,0.9765,0.0000,0.0000,0.49733208,0.7503
[DATA]AUGMENTED-7D,108,0,428.3549,433.6494,0.9484,0.0000,0.0000,0.49730721,0.9259
[DATA]AUGMENTED-7D,109,0,425.1344,433.2110,0.9224,0.0000,0.0000,0.49728234,0.9852
[DATA]AUGMENTED-7D,110,0,419.2434,431.9108,0.8810,0.0000,0.0000,0.49725748,0.9931
[DATA]AUGMENTED-7D,111,0,416.6729,431.0877,0.8658,0.0000,0.0000,0.49723262,0.9782
[DATA]AUGMENTED-7D,112,0,414.3524,430.1943,0.8535,0.0000,0.0000,0.49720776,0.9253
[DATA]AUGMENTED-7D,113,0,412.2819,429.2384,0.8440,-0.3136,-0.0809,0.49718290,0.7687
[DATA]AUGMENTED-7D,114,0,410.4615,428.2727,0.8368,-0.3168,-0.0831,0.49715804,0.9499
[DATA]AUGMENTED-7D,115,0,408.5774,427.2766,0.8295,0.0000,0.0000,0.49713318,1.0084
[DATA]AUGMENTED-7D,116,0,406.6265,426.2509,0.8218,0.0000,0.0000,0.49710832,0.4120
[DATA]AUGMENTED-7D,117,0,404.9257,425.1957,0.8165,0.0000,0.0000,0.49708347,0.6754
[DATA]AUGMENTED-7D,118,0,402.2739,423.0845,0.8121,0.0000,0.0000,0.49705861,0.4109
[DATA]AUGMENTED-7D,119,0,401.3231,421.8752,0.8142,0.0000,0.0000,0.49703376,0.8662
[DATA]AUGMENTED-7D,120,0,400.6222,420.5343,0.8195,0.0000,0.0000,0.49700891,0.7583
[DATA]AUGMENTED-7D,121,0,400.1713,419.0913,0.8276,0.0000,0.0000,0.49698406,1.0432
[DATA]AUGMENTED-7D,122,0,399.9705,417.5940,0.8384,0.0000,0.0000,0.49695921,0.6675
[DATA]AUGMENTED-7D,123,0,400.0196,416.0449,0.8519,-0.3101,-0.0669,0.49693436,0.9230
[DATA]AUGMENTED-7D,124,0,400.3187,414.4580,0.8681,0.0000,0.0000,0.49690951,0.9200
[DATA]AUGMENTED-7D,125,0,400.5578,412.8519,0.8843,0.0000,0.0000,0.49688467,0.7551
[DATA]AUGMENTED-7D,126,0,401.0468,411.2447,0.9030,-0.2882,-0.0412,0.49685982,0.9909
[DATA]AUGMENTED-7D,127,0,401.7859,409.6432,0.9244,0.0000,0.0000,0.49683498,0.8662
[DATA]AUGMENTED-7D,128,0,402.3867,408.0562,0.9449,-0.2713,-0.0223,0.49681014,0.9236
[DATA]AUGMENTED-7D,129,0,403.7670,404.8400,0.9893,-0.2540,-0.0110,0.49678530,0.4109
[DATA]AUGMENTED-7D,130,0,404.2753,403.2202,0.9895,-0.2540,-0.0215,0.49676046,0.9239
[DATA]AUGMENTED-7D,131,0,404.6795,401.6406,0.9701,-0.2614,-0.0271,0.49673562,0.7859
[DATA]AUGMENTED-7D,132,0,404.9798,400.0686,0.9521,-0.2684,-0.0267,0.49671078,0.4142
[DATA]AUGMENTED-7D,133,0,405.1687,398.5306,0.9358,0.0000,0.0000,0.49668595,0.9416
[DATA]AUGMENTED-7D,134,0,405.2392,396.9697,0.9206,-0.2810,-0.0306,0.49666111,0.9002
[DATA]AUGMENTED-7D,135,0,405.4597,395.4091,0.9044,-0.2877,-0.0348,0.49663628,0.8139
[DATA]AUGMENTED-7D,136,0,405.5492,393.8487,0.8896,0.0000,0.0000,0.49661145,0.7551
[DATA]AUGMENTED-7D,137,0,405.5010,392.3155,0.8765,-0.2994,-0.0377,0.49658662,0.9020
[DATA]AUGMENTED-7D,138,0,405.6028,390.8269,0.8626,-0.3054,-0.0414,0.49656179,0.9297
[DATA]AUGMENTED-7D,139,0,405.5551,389.3514,0.8504,-0.3108,-0.0426,0.49653696,0.7583
[DATA]AUGMENTED-7D,140,0,404.9882,386.4078,0.8304,0.0000,0.0000,0.49651213,1.0762
[DATA]AUGMENTED-7D,141,0,404.4636,384.9834,0.8230,0.0000,0.0000,0.49648731,0.9592
[DATA]AUGMENTED-7D,142,0,404.0890,383.5460,0.3143,-0.3270,-0.0489,0.49646248,1.0972
[DATA]AUGMENTED-7D,143,0,403.8644,382.1387,1.0047,0.0000,0.0000,0.49643766,0.4128
[DATA]AUGMENTED-7D,144,0,403.4627,380.7502,0.2968,-0.3352,-0.0536,0.49641284,0.9233
[DATA]AUGMENTED-7D,145,0,403.2111,379.3584,0.2878,-0.3394,-0.0573,0.49638802,0.9741
[DATA]AUGMENTED-7D,146,0,402.7743,377.9939,0.2805,-0.3429,-0.0580,0.49636320,0.3921
[DATA]AUGMENTED-7D,147,0,402.1480,376.6665,0.9751,0.0000,0.0000,0.49633838,0.7822
[DATA]AUGMENTED-7D,148,0,401.3289,375.3267,0.9710,0.0000,0.0000,0.49631356,0.4203
[DATA]AUGMENTED-7D,149,0,400.6597,373.9987,0.9660,0.0000,0.0000,0.49628875,0.9636
[DATA]AUGMENTED-7D,150,0,400.1405,372.6680,0.2598,-0.3530,-0.0635,0.49626393,0.8139
[DATA]AUGMENTED-7D,151,0,399.7713,371.3785,0.2528,-0.3565,-0.0667,0.49623912,0.4156
[DATA]AUGMENTED-7D,152,0,399.1991,370.0939,0.2475,-0.3591,-0.0668,0.49621431,1.0762
[DATA]AUGMENTED-7D,153,0,397.4353,367.5520,0.2417,-0.3621,-0.0655,0.49618950,0.8653
[DATA]AUGMENTED-7D,154,0,396.2410,366.2885,0.2412,-0.3623,-0.0640,0.49616469,0.3881
[DATA]AUGMENTED-7D,155,0,394.8347,365.0698,0.9426,0.0000,0.0000,0.49613988,0.8937
[DATA]AUGMENTED-7D,156,0,393.2160,363.8787,0.9457,0.0000,0.0000,0.49611507,0.7583
[DATA]AUGMENTED-7D,157,0,391.7473,362.7122,0.9480,0.0000,0.0000,0.49609027,0.7403
