[HEADER]MODE,TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
[DATA]AUGMENTED-7D,1,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49997500,0.0000
[DATA]AUGMENTED-7D,2,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49995000,0.0000
[DATA]AUGMENTED-7D,3,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49992500,0.0000
[DATA]AUGMENTED-7D,4,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49990001,0.0000
[DATA]AUGMENTED-7D,5,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49987501,0.0000
[DATA]AUGMENTED-7D,6,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49985002,0.0000
[DATA]AUGMENTED-7D,7,0,516.0000,508.0000,0.9231,-0.2800,-0.0275,0.49982503,0.0000
[DATA]AUGMENTED-7D,8,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49980003,0.0000
[DATA]AUGMENTED-7D,9,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49977504,0.0000
[DATA]AUGMENTED-7D,10,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49975006,0.0000
[DATA]AUGMENTED-7D,11,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49972507,0.0000
[DATA]AUGMENTED-7D,12,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49970008,0.0000
[DATA]AUGMENTED-7D,13,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49967510,0.0000
[DATA]AUGMENTED-7D,14,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49965011,0.0000
[DATA]AUGMENTED-7D,15,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49962513,0.0000
[DATA]AUGMENTED-7D,16,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49960015,0.0000
[DATA]AUGMENTED-7D,17,0,516.0000,508.0000,0.9231,-0.2800,-0.0269,0.49957517,0.0000
[DATA]AUGMENTED-7D,18,0,516.0000,508.0000,0.9231,-0.2800,-0.0269,0.49955019,0.0000
[DATA]AUGMENTED-7D,19,0,516.0000,508.0000,0.9231,-0.2800,-0.0263,0.49952521,0.0000
[DATA]AUGMENTED-7D,20,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49950024,0.0000
[DATA]AUGMENTED-7D,21,0,516.0000,508.0000,0.9231,0.0000,0.0000,0.49947526,0.0000
[DATA]AUGMENTED-7D,22,0,515.0300,507.7708,0.9300,0.0000,0.0000,0.49945029,0.0000
[DATA]AUGMENTED-7D,23,0,514.2100,507.3441,0.9336,-0.2757,-0.0251,0.49942532,0.0000
[DATA]AUGMENTED-7D,24,0,512.7442,506.0471,0.9352,0.0000,0.0000,0.49940034,0.0000
[DATA]AUGMENTED-7D,25,0,511.8227,505.2221,0.9361,-0.2748,-0.0267,0.49937537,0.0000
[DATA]AUGMENTED-7D,26,0,511.0512,504.3429,0.9351,0.0000,0.0000,0.49935041,0.0000
[DATA]AUGMENTED-7D,27,0,510.1550,503.4222,0.9349,0.0000,0.0000,0.49932544,0.0000
[DATA]AUGMENTED-7D,28,0,509.4087,502.4634,0.9329,0.0000,0.0000,0.49930047,0.0000
[DATA]AUGMENTED-7D,29,0,508.8125,501.4807,0.9293,0.0000,0.0000,0.49927551,0.0000
[DATA]AUGMENTED-7D,30,0,508.3662,500.4762,0.9241,0.0000,0.0000,0.49925054,0.0000
[DATA]AUGMENTED-7D,31,0,508.0700,499.4543,0.9174,-0.2823,-0.0318,0.49922558,0.0000
[DATA]AUGMENTED-7D,32,0,507.9238,498.4111,0.9093,0.0000,0.0000,0.49920062,0.0000
[DATA]AUGMENTED-7D,33,0,507.6452,497.3484,0.9022,0.0000,0.0000,0.49917566,0.9695
[DATA]AUGMENTED-7D,34,0,507.5166,496.2723,0.8936,0.0000,0.0000,0.49915070,0.9217
[DATA]AUGMENTED-7D,35,0,507.5381,495.2038,0.8840,0.0000,0.0000,0.49912574,0.9332
[DATA]AUGMENTED-7D,36,0,507.7095,494.1303,0.8730,0.0000,0.0000,0.49910079,0.9192
[DATA]AUGMENTED-7D,37,0,508.5024,491.9763,0.8477,0.0000,0.0000,0.49907583,0.9741
[DATA]AUGMENTED-7D,38,0,509.1238,490.8914,0.8333,-0.3184,-0.0612,0.49905088,0.9196
[DATA]AUGMENTED-7D,39,0,509.8953,489.8162,1.0181,0.0000,0.0000,0.49902593,0.9217
[DATA]AUGMENTED-7D,40,0,510.4984,488.7556,1.0046,0.0000,0.0000,0.49900097,0.9217
[DATA]AUGMENTED-7D,41,0,511.2514,487.7023,0.9902,0.0000,0.0000,0.49897602,0.9697
[DATA]AUGMENTED-7D,42,0,512.1545,486.6480,0.9749,0.0000,0.0000,0.49895108,0.9041
[DATA]AUGMENTED-7D,43,0,513.2076,485.5976,0.9587,0.0000,0.0000,0.49892613,0.9712
[DATA]AUGMENTED-7D,44,0,514.4106,484.5353,0.9417,0.0000,0.0000,0.49890118,0.9697
[DATA]AUGMENTED-7D,45,0,515.7637,483.4959,0.6242,0.0000,0.0000,0.49887624,0.4316
[DATA]AUGMENTED-7D,46,0,515.1480,481.4678,0.6141,0.0000,0.0000,0.49885129,0.9216
[DATA]AUGMENTED-7D,47,0,514.4459,480.4947,-0.0879,-0.3773,-0.1029,0.49882635,0.9280
[DATA]AUGMENTED-7D,48,0,513.8938,479.5444,0.6093,0.0000,0.0000,0.49880141,0.9332
[DATA]AUGMENTED-7D,49,0,513.1145,478.5841,-0.0920,-0.3795,-0.1044,0.49877647,0.8081
[DATA]AUGMENTED-7D,50,0,512.4851,477.6250,0.6057,0.0000,0.0000,0.49875153,0.9332
[DATA]AUGMENTED-7D,51,0,511.6263,476.6771,-0.0950,-0.3811,-0.1054,0.49872659,0.9221
[DATA]AUGMENTED-7D,52,0,510.9174,475.7422,0.6035,0.0000,0.0000,0.49870166,0.9217
[DATA]AUGMENTED-7D,53,0,509.9775,474.8032,0.6035,0.0000,0.0000,0.49867672,0.9217
[DATA]AUGMENTED-7D,54,0,509.1876,473.8932,-0.0974,-0.3824,-0.1064,0.49865179,0.9217
[DATA]AUGMENTED-7D,55,0,507.6754,472.0931,-0.0994,-0.3834,-0.1070,0.49862685,0.4063
[DATA]AUGMENTED-7D,56,0,506.5708,471.1928,-0.0980,-0.3827,-0.1059,0.49860192,0.8409
[DATA]AUGMENTED-7D,57,0,505.2327,470.2964,0.6051,0.0000,0.0000,0.49857699,0.9216
[DATA]AUGMENTED-7D,58,0,503.6620,469.4032,-0.0901,-0.3785,-0.1018,0.49855206,0.9695
[DATA]AUGMENTED-7D,59,0,502.2413,468.5242,-0.0862,-0.3764,-0.1005,0.49852714,0.7967
[DATA]AUGMENTED-7D,60,0,500.5921,467.6619,0.6194,0.0000,0.0000,0.49850221,0.9323
[DATA]AUGMENTED-7D,61,0,498.7165,466.8113,0.6268,0.0000,0.0000,0.49847729,0.9712
[DATA]AUGMENTED-7D,62,0,496.9908,465.9820,0.6334,0.0000,0.0000,0.49845236,0.9216
[DATA]AUGMENTED-7D,63,0,495.4152,465.1665,0.6390,0.0000,0.0000,0.49842744,0.6794
[DATA]AUGMENTED-7D,64,0,493.9896,464.3419,0.9434,0.0000,0.0000,0.49840252,0.8081
[DATA]AUGMENTED-7D,65,0,492.7140,463.5200,0.2468,-0.3595,-0.0877,0.49837760,0.9217
[DATA]AUGMENTED-7D,66,0,490.2532,461.9216,0.9533,0.0000,0.0000,0.49835268,0.6891
[DATA]AUGMENTED-7D,67,0,488.7086,461.1388,0.9590,0.0000,0.0000,0.49832776,0.9217
[DATA]AUGMENTED-7D,68,0,487.3140,460.3723,0.9638,0.0000,0.0000,0.49830284,0.7547
[DATA]AUGMENTED-7D,69,0,486.0694,459.4507,0.9663,0.0000,0.0000,0.49827793,0.8409
[DATA]AUGMENTED-7D,70,0,484.9749,458.4002,0.9666,0.0000,0.0000,0.49825302,0.8989
[DATA]AUGMENTED-7D,71,0,484.0303,457.2455,0.9650,0.0000,0.0000,0.49822810,0.7578
[DATA]AUGMENTED-7D,72,0,483.2357,456.0291,0.2618,-0.3520,-0.0843,0.49820319,0.9216
[DATA]AUGMENTED-7D,73,0,482.5911,454.7775,0.9572,0.0000,0.0000,0.49817828,0.9217
[DATA]AUGMENTED-7D,74,0,481.7445,453.4443,0.2535,-0.3561,-0.0876,0.49815337,0.7657
[DATA]AUGMENTED-7D,75,0,481.0478,452.0410,0.9482,0.0000,0.0000,0.49812846,0.9216
[DATA]AUGMENTED-7D,76,0,480.1451,450.6394,0.9445,0.0000,0.0000,0.49810356,0.7547
[DATA]AUGMENTED-7D,77,0,478.7896,447.8149,0.6336,0.0000,0.0000,0.49807865,0.7334
[DATA]AUGMENTED-7D,78,0,478.3369,446.3563,0.6263,0.0000,0.0000,0.49805375,0.7585
[DATA]AUGMENTED-7D,79,0,478.0342,444.9248,-0.0819,-0.3742,-0.1028,0.49802885,0.9041
[DATA]AUGMENTED-7D,80,0,477.8814,443.5039,0.6091,0.0000,0.0000,0.49800394,0.9217
[DATA]AUGMENTED-7D,81,0,477.5045,442.1030,0.6019,0.0000,0.0000,0.49797904,0.7602
[DATA]AUGMENTED-7D,82,0,477.2776,440.7263,0.5938,0.0000,0.0000,0.49795415,0.9217
[DATA]AUGMENTED-7D,83,0,477.2007,439.3368,0.5848,0.0000,0.0000,0.49792925,0.3927
[DATA]AUGMENTED-7D,84,0,477.2738,437.9264,0.5747,0.0000,0.0000,0.49790435,0.9221
[DATA]AUGMENTED-7D,85,0,477.4969,436.5098,0.5637,0.0000,0.0000,0.49787946,0.9216
[DATA]AUGMENTED-7D,86,0,477.8700,435.1103,0.5521,0.0000,0.0000,0.49785456,0.9697
[DATA]AUGMENTED-7D,87,0,479.0662,432.3873,0.5270,0.0000,0.0000,0.49782967,0.9041
