[HEADER]TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
[DATA]1,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49997500,0.0000
[DATA]2,0,520.0000,508.0000,-0.1132,-0.2960,-0.1048,0.49995000,0.0000
[DATA]3,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49992500,0.0000
[DATA]4,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49990001,0.0000
[DATA]5,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49987501,0.0000
[DATA]6,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49985002,0.0000
[DATA]7,0,520.0000,508.0000,-0.1132,-0.2960,-0.1057,0.49982503,0.0000
[DATA]8,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49980003,0.0000
[DATA]9,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49977504,0.0000
[DATA]10,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49975006,0.0000
[DATA]11,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49972507,0.0000
[DATA]12,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49970008,0.0000
[DATA]13,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49967510,0.0000
[DATA]14,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49965011,0.0000
[DATA]15,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49962513,0.0000
[DATA]16,0,520.0000,508.0000,-0.1132,-0.2960,-0.1065,0.49960015,0.0000
[DATA]17,0,520.0000,508.0000,-0.1132,-0.2960,-0.1065,0.49957517,0.0000
[DATA]18,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49955019,0.0000
[DATA]19,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49952521,0.0000
[DATA]20,0,520.0000,508.0000,-0.1132,0.0000,0.0000,0.49950024,0.0000
[DATA]21,0,518.9660,507.7140,-0.0316,0.0000,0.0000,0.49947526,0.0000
[DATA]22,0,518.0820,507.2094,0.0101,0.0000,0.0000,0.49945029,0.0000
[DATA]23,0,517.3480,506.4967,0.0125,0.0000,0.0000,0.49942532,0.0000
[DATA]24,0,516.7640,505.6594,-0.0154,0.0000,0.0000,0.49940034,0.0000
[DATA]25,0,516.3300,504.7326,-0.0694,0.0000,0.0000,0.49937537,0.0000
[DATA]26,0,516.0460,503.7439,-0.1459,0.0000,0.0000,0.49935041,0.0000
[DATA]27,0,515.9120,502.6799,-0.2449,-0.3059,-0.1124,0.49932544,0.0000
[DATA]28,0,515.9280,501.5550,-0.3627,0.0000,0.0000,0.49930047,0.0000
[DATA]29,0,515.7881,500.3602,0.0328,0.0000,0.0000,0.49927551,0.0000
[DATA]30,0,515.7983,499.1448,-0.0828,0.0000,0.0000,0.49925054,0.0000
[DATA]31,0,515.9584,497.9158,-0.2057,0.0000,0.0000,0.49922558,0.0000
[DATA]32,0,516.2686,496.6867,-0.3321,0.0000,0.0000,0.49920062,0.0000
[DATA]33,0,516.7287,495.4405,-0.4607,0.0000,0.0000,0.49917566,-0.1175
[DATA]34,0,517.3388,494.2176,-0.5870,0.0000,0.0000,0.49915070,-0.1175
[DATA]35,0,518.0990,493.0088,-3.7116,-0.4007,-0.2129,0.49912574,-1.0822
[DATA]36,0,519.0091,491.8207,-0.8346,0.0000,0.0000,0.49910079,-0.1175
[DATA]37,0,519.0425,489.3829,-0.9707,0.0000,0.0000,0.49907583,-0.1175
[DATA]38,0,518.2350,488.1691,-0.9924,0.0000,0.0000,0.49905088,-0.4652
[DATA]39,0,517.5775,486.9548,-1.0219,0.0000,0.0000,0.49902593,-0.1453
[DATA]40,0,517.0701,485.7612,-1.0580,0.0000,0.0000,0.49900097,-0.1175
