[HEADER]MODE,TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
[DATA]AUGMENTED-3D,1,0,0.0000,0.0000,1.0000,0.0000,0.0000,0.49997500,0.0000
[DATA]AUGMENTED-3D,2,0,520.0000,508.0000,0.8869,0.0000,0.0000,0.49995000,0.8869
[DATA]AUGMENTED-3D,3,0,520.0000,508.0000,0.8869,0.0000,0.0000,0.49992500,0.8869
[DATA]AUGMENTED-3D,4,0,520.0000,508.0000,0.8869,0.0000,0.0000,0.49990001,0.8868
[DATA]AUGMENTED-3D,5,0,520.0000,508.0000,0.8869,-0.2950,0.0000,0.49987501,0.8868
[DATA]AUGMENTED-3D,6,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49985002,0.8903
[DATA]AUGMENTED-3D,7,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49982503,0.8867
[DATA]AUGMENTED-3D,8,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49980003,0.8867
[DATA]AUGMENTED-3D,9,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49977504,0.8867
[DATA]AUGMENTED-3D,10,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49975006,0.8866
[DATA]AUGMENTED-3D,11,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49972507,0.8866
[DATA]AUGMENTED-3D,12,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49970008,0.8865
[DATA]AUGMENTED-3D,13,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49967510,0.8865
[DATA]AUGMENTED-3D,14,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49965011,0.8864
[DATA]AUGMENTED-3D,15,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49962513,0.8864
[DATA]AUGMENTED-3D,16,0,520.0000,508.0000,0.8869,-0.2950,0.0009,0.49960015,0.8863
[DATA]AUGMENTED-3D,17,0,520.0000,508.0000,0.8869,0.0000,0.0018,0.49957517,0.8978
[DATA]AUGMENTED-3D,18,0,520.0000,508.0000,0.8869,0.0000,0.0018,0.49955019,0.8863
[DATA]AUGMENTED-3D,19,0,520.0000,508.0000,0.8869,0.0000,0.0018,0.49952521,0.8863
[DATA]AUGMENTED-3D,20,0,519.5600,507.7107,0.8883,0.0000,0.0018,0.49950024,0.8875
[DATA]AUGMENTED-3D,21,0,519.2701,507.2123,0.8864,0.0000,0.0018,0.49947526,0.8857
[DATA]AUGMENTED-3D,22,0,519.1301,506.5327,0.8816,-0.2972,0.0018,0.49945029,0.8808
[DATA]AUGMENTED-3D,23,0,519.1401,505.7031,0.8743,0.0000,0.0027,0.49942532,0.8885
[DATA]AUGMENTED-3D,24,0,519.0029,504.7877,0.8675,0.0000,0.0027,0.49940034,0.8666
[DATA]AUGMENTED-3D,25,0,519.0157,503.8055,0.8589,0.0000,0.0027,0.49937537,0.8580
[DATA]AUGMENTED-3D,26,0,519.1785,502.7434,0.8484,0.0000,0.0027,0.49935041,0.8475
[DATA]AUGMENTED-3D,27,0,519.4913,501.6100,0.8363,0.0000,0.0027,0.49932544,0.8353
