[HEADER]MODE,TICK,EPISODE,BAR_POS,FISH_POS,REWARD,FORCE,Q_HOLD,EPSILON,TD_ERROR
Running Q-Learning Agent in AUGMENTED-3D mode
[DATA]AUGMENTED-3D,1,0,520.0000,508.0000,0.8869,0.0000,0.0000,0.49997500,0.0000
[DATA]AUGMENTED-3D,2,0,520.0000,508.0000,0.8869,0.0000,0.0000,0.49995000,0.8869
[DATA]AUGMENTED-3D,3,0,520.0000,508.0000,0.8869,0.0000,0.0000,0.49992500,0.8869
[DATA]AUGMENTED-3D,4,0,520.0000,508.0000,0.8869,-0.2950,0.0000,0.49990001,0.8868
[DATA]AUGMENTED-3D,5,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49987501,0.8894
[DATA]AUGMENTED-3D,6,0,520.0000,508.0000,0.8869,0.0000,0.0009,0.49985002,0.8868
[DATA]AUGMENTED-3D,7,0,520.0000,508.0000,0.8869,-0.2950,0.0009,0.49982503,0.8867
[DATA]AUGMENTED-3D,8,0,520.0000,508.0000,0.8869,-0.2950,0.0018,0.49980003,0.8902
[DATA]AUGMENTED-3D,9,0,520.0000,508.0000,0.8869,0.0000,0.0027,0.49977504,0.8894
[DATA]AUGMENTED-3D,10,0,520.0000,508.0000,0.8869,0.0000,0.0027,0.49975006,0.8867
[DATA]AUGMENTED-3D,11,0,520.0000,508.0000,0.8869,0.0000,0.0027,0.49972507,0.8867
[DATA]AUGMENTED-3D,12,0,520.0000,508.0000,0.8869,0.0000,0.0027,0.49970008,0.8866
[DATA]AUGMENTED-3D,13,0,520.0000,508.0000,0.8869,-0.2950,0.0027,0.49967510,0.8866
[DATA]AUGMENTED-3D,14,0,520.0000,508.0000,0.8869,0.0000,0.0036,0.49965011,0.8918
[DATA]AUGMENTED-3D,15,0,520.0000,508.0000,0.8869,-0.2949,0.0036,0.49962513,0.8865
[DATA]AUGMENTED-3D,16,0,520.0000,508.0000,0.8869,0.0000,0.0045,0.49960015,0.8918
[DATA]AUGMENTED-3D,17,0,520.0000,508.0000,0.8869,-0.2949,0.0045,0.49957517,0.8865
[DATA]AUGMENTED-3D,18,0,520.0000,508.0000,0.8869,0.0000,0.0053,0.49955019,0.8917
